Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,no_color,black,grey,red_pink,orange_brown_yellow,green,blue,purple
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,1,5,microplastics,30,1,0,1,0,3,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,1,5,microplastics,21,1,0,0,1,3,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,1,5,microplastics,3,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,1,5,microplastics,0,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,1,5,microplastics,0,0,0,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,1,5,microplastics,0,0,0,1,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,1,5,microplastics,5,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,21,1,0,0,0,0,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,2,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,615,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,181,0,0,0,2,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,59,0,1,1,0,0,2,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,101,0,2,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,220,3,1,1,2,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,31,1,0,0,2,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,68,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,1,5,microplastics,207,0,0,0,1,1,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,1,5,microplastics,147,3,0,1,2,4,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,1,5,microplastics,62,1,1,1,1,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,1,5,microplastics,24,1,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,1,5,microplastics,9,1,0,1,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,1,5,microplastics,80,1,1,2,1,0,1,1
