Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,fragment,foamed_plastic,pellet,foil,fiber,fishing_line,cigarette_butt,rope,rubber,fabric,unclear
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,15,5,25,mesoplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,16,5,25,mesoplastics,2,2,1,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,17,5,25,mesoplastics,3,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,18,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,19,5,25,mesoplastics,2,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,20,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,21,5,25,mesoplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,22,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,23,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,24,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,25,5,25,mesoplastics,0,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,1,5,25,mesoplastics,0,1,0,0,1,0,0,1,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,2,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,3,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,4,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,5,5,25,mesoplastics,0,1,0,0,1,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,6,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,7,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,8,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,9,5,25,mesoplastics,3,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,10,5,25,mesoplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,11,5,25,mesoplastics,5,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,12,5,25,mesoplastics,21,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,13,5,25,mesoplastics,4,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,14,5,25,mesoplastics,8,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,15,5,25,mesoplastics,2,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,16,5,25,mesoplastics,7,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,17,5,25,mesoplastics,0,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,18,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
