sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_1148,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,0.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low,unknown
DOER_1147,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,0.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low,unknown
DOER_1157,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,46.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1145,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,174.8,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1158,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,0.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low,unknown
DOER_1143,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,236.7,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1142,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,194.4,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1146,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,108.5,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1169,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,1895.6,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",High,unknown
DOER_1183,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,108.8,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1182,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,69.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1180,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,132.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
