sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_1191,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,46.6,1.677606952720493,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1186,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,1.8506462351830666,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1187,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,101.0,2.0086001717619175,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1193,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,1.9740509027928774,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1188,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,116.5,2.070037866607755,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1190,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,23.3,1.3856062735983121,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1185,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,1.8506462351830666,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1192,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,1.9740509027928774,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1179,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,202.0,2.307496037913213,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1189,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,31.1,1.506505032404872,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
